classid;cbo;dit;fanIn;fanOut;lcom;noc;numberOfAttributes;numberOfAttributesInherited;numberOfLinesOfCode;numberOfMethods;numberOfMethodsInherited;numberOfPrivateAttributes;numberOfPrivateMethods;numberOfPublicAttributes;numberOfPublicMethods;rfc;wmc
34;55;3;44;15;105;0;12;274;378;15;103;0;2;12;11;93;110
35;5;2;2;3;300;0;13;2;258;25;41;8;1;1;24;130;56
36;11;3;0;11;15;0;11;380;343;6;38;2;0;9;6;106;91
37;3;5;1;2;10;0;0;58;34;5;179;0;0;0;4;12;7
38;3;6;1;2;21;0;1;384;39;7;79;0;0;0;7;14;11
39;1;7;1;0;15;0;1;419;21;6;118;1;0;0;6;10;6
40;6;2;3;4;136;0;7;119;197;17;16;1;1;6;7;54;68
41;1;4;1;0;0;0;0;7;0;1;28;0;0;0;1;1;0
42;5;1;2;3;55;2;7;0;81;11;28;7;0;0;5;29;21
43;14;3;1;13;15;0;3;19;167;6;67;0;4;3;1;51;36
44;13;1;8;6;45;1;2;0;151;10;8;0;3;2;6;53;53
45;3;3;1;2;3;0;1;3;27;3;17;0;1;1;1;7;8
46;15;3;8;9;595;0;23;97;319;35;84;11;0;0;18;156;81
47;2;5;1;2;10;0;2;61;50;5;49;0;1;1;1;10;15
48;3;7;1;2;28;0;0;398;25;8;107;0;0;0;8;10;8
49;8;3;2;7;28;0;2;52;69;8;27;0;0;1;5;24;25
50;5;1;1;4;36;0;3;0;109;9;16;0;2;3;7;30;31
51;35;1;32;3;55;16;0;0;85;11;8;0;0;0;0;16;21
52;7;6;2;5;10;0;0;385;35;5;95;0;0;0;4;24;11
53;16;1;11;5;10;0;3;0;62;5;8;1;0;2;5;18;22
54;13;2;1;13;15;0;1;8;207;6;19;0;0;1;5;58;30
55;3;1;1;2;36;0;4;0;83;9;8;0;1;4;8;24;25
56;7;2;4;3;6;17;4;0;18;4;22;3;0;0;4;10;5
57;1;1;1;0;55;1;0;0;43;11;8;0;0;0;0;11;11
58;13;2;1;12;1;0;0;270;166;2;48;0;0;0;2;42;29
59;8;2;1;7;28;0;7;141;264;8;35;0;0;7;5;85;63
60;6;3;1;5;6;0;2;135;107;4;67;0;0;2;2;24;49
61;11;4;6;6;15;0;2;49;64;6;148;0;0;2;2;18;18
62;17;3;2;15;21;0;2;25;83;7;82;0;0;0;3;49;20
63;8;1;3;5;10;1;10;0;140;5;8;0;0;4;4;37;48
64;8;5;0;8;21;0;2;412;70;7;94;0;0;2;7;39;18
65;5;2;1;4;10;0;4;0;27;5;22;4;0;0;4;12;7
66;4;3;1;3;66;0;3;95;59;12;73;2;0;0;3;35;16
67;1;4;1;0;0;0;5;6;0;1;21;0;0;5;1;1;0
68;2;4;1;1;3;0;0;410;12;3;66;0;0;0;3;5;3
69;20;2;20;0;10;5;7;380;35;5;27;0;0;7;5;10;10
70;11;2;2;9;45;0;8;0;108;10;18;0;0;8;9;51;34
71;3;1;2;1;3;0;5;0;25;3;8;0;0;5;1;5;7
72;9;3;1;8;10;0;0;22;90;5;78;0;1;0;0;34;30
73;11;1;1;10;55;0;1;0;377;11;8;1;7;0;4;89;80
74;4;3;2;2;36;0;1;95;31;9;75;1;0;0;1;19;9
75;6;7;2;4;3;2;2;419;30;3;115;0;0;2;3;12;8
76;9;3;8;1;28;2;1;380;31;8;38;0;0;1;8;14;11
77;5;1;1;5;10;0;11;0;140;5;16;3;1;8;4;28;25
78;6;3;1;5;91;0;5;95;86;14;73;3;0;0;4;48;22
79;20;6;4;18;378;1;1;69;222;28;227;0;0;0;22;126;57
80;2;2;1;1;1;0;0;219;10;2;55;0;0;0;2;3;3
81;4;3;1;3;6;0;5;1;33;4;31;5;0;0;4;9;7
82;6;3;1;6;171;0;10;95;136;19;73;6;0;0;9;72;38
83;6;4;1;5;3;0;0;393;41;3;61;0;0;0;3;18;14
84;6;1;1;5;1;0;1;114;131;2;9;1;0;0;2;38;24
85;8;5;1;7;45;0;5;55;210;10;171;0;0;5;10;70;47
86;7;3;4;4;10;1;1;37;34;5;72;0;0;0;5;13;6
87;2;4;1;1;3;0;1;61;17;3;45;0;0;0;1;7;4
88;22;3;7;15;630;0;23;8;724;36;37;23;8;0;28;210;246
89;10;2;3;7;28;0;1;0;46;8;18;0;0;1;8;25;12
90;11;4;1;11;55;1;0;52;63;11;127;0;0;0;6;34;22
91;6;2;1;6;105;0;5;95;91;15;68;3;0;0;5;50;23
92;8;1;7;1;45;0;4;0;34;10;8;0;0;4;10;12;14
93;3;2;1;2;120;0;5;11;123;16;18;0;0;0;16;43;31
94;7;1;4;4;15;0;3;0;56;6;8;3;0;0;6;16;19
95;13;1;9;4;1;1;6;0;14;2;23;1;0;5;2;11;5
96;6;3;1;5;91;0;5;95;106;14;73;3;0;0;5;54;27
97;6;1;2;5;78;0;10;0;393;13;8;0;1;9;4;67;102
98;4;3;1;3;28;0;7;1;50;8;36;7;0;0;7;23;13
99;16;4;3;13;15;0;2;384;195;6;69;0;0;2;6;75;56
100;1;3;1;0;1;0;0;384;9;2;31;0;0;0;2;5;2
101;0;7;0;0;1;0;2;388;7;2;87;0;0;0;2;2;2
102;1;2;1;1;21;0;2;68;74;7;33;0;0;2;4;17;25
103;4;1;2;2;55;0;4;0;118;11;8;0;2;4;9;33;36
104;26;2;1;26;190;0;4;68;526;20;33;1;4;1;5;176;175
105;2;1;2;0;10;0;4;0;18;5;16;4;0;0;5;5;5
106;1;2;1;0;0;0;0;11;3;1;47;0;0;0;1;1;1
107;3;3;1;2;66;0;3;95;60;12;73;2;0;0;3;35;16
108;15;2;2;13;15;1;4;18;223;6;62;0;0;4;2;104;46
109;5;1;3;2;3;0;2;0;77;3;8;2;0;0;3;12;12
110;7;7;1;6;15;1;0;386;38;6;97;0;0;0;6;17;10
111;15;1;10;6;120;1;10;0;383;16;16;2;0;2;13;122;93
112;6;2;0;6;21;0;16;0;142;7;11;7;2;9;3;23;39
113;7;4;1;7;136;0;5;99;98;17;100;1;0;0;1;57;26
114;3;1;1;2;45;0;4;0;64;10;8;0;0;4;10;20;18
115;17;1;4;13;66;1;6;48;144;12;11;0;4;1;5;54;38
116;6;3;1;5;91;0;5;95;107;14;73;3;0;0;5;53;27
117;1;1;1;0;10;2;0;5;12;5;14;0;0;0;5;5;4
118;22;1;5;18;55;2;5;0;242;11;8;0;0;0;3;89;51
119;23;5;13;11;28;2;1;397;132;8;64;1;0;0;8;56;38
120;10;2;1;9;36;0;5;0;186;9;11;5;7;0;2;44;32
121;9;2;0;9;66;0;5;2;89;12;41;3;1;2;11;54;26
122;1;1;1;0;45;0;3;0;55;10;8;0;1;3;9;27;18
123;61;1;44;17;171;0;6;12;513;19;8;2;1;0;18;143;120
124;1;2;0;1;1;0;1;1;9;2;18;0;0;1;2;6;4
125;20;4;5;15;300;0;7;52;222;25;129;0;3;7;16;78;55
126;21;3;7;15;28;4;2;408;198;8;58;0;0;2;8;59;69
127;11;4;3;8;28;0;0;28;62;8;91;0;1;0;2;35;16
128;12;2;1;11;21;0;0;5;156;7;19;0;5;0;2;61;31
129;9;1;0;9;1225;0;107;114;3449;50;20;2;3;44;41;374;1169
130;16;3;12;4;45;0;3;380;97;10;38;0;0;3;10;32;30
131;102;1;17;90;1431;0;27;0;1531;54;9;2;4;24;19;572;419
132;26;3;10;17;105;2;13;380;364;15;46;0;0;9;14;127;104
133;12;3;9;3;66;0;3;95;72;12;76;2;0;0;3;37;19
134;3;2;2;1;1;0;1;1;9;2;18;0;1;1;1;5;3
135;3;1;2;2;10;0;2;0;30;5;8;0;1;1;4;10;8
136;39;1;1;39;666;0;50;23;2557;37;8;6;5;36;20;917;659
137;5;3;3;2;3;0;3;1;22;3;31;3;0;0;3;6;5
138;4;1;1;3;1;0;2;0;12;2;8;2;1;0;1;5;2
139;43;4;22;23;496;0;2;51;235;32;157;0;2;2;22;118;79
140;39;3;32;10;253;3;1;34;251;23;24;0;0;1;23;64;74
141;3;4;1;2;6;0;1;35;24;4;47;0;0;1;4;8;6
142;2;3;1;1;1;0;0;387;12;2;32;0;0;0;2;7;4
143;2;5;1;1;1;0;0;400;10;2;65;0;0;0;2;4;2
144;3;2;3;0;6;0;3;28;13;4;16;1;0;2;3;4;4
145;8;2;4;4;10;0;1;18;35;5;62;0;0;0;4;15;12
146;1;4;1;0;6;0;3;3;13;4;38;3;0;0;4;4;4
147;19;7;1;18;78;0;2;426;551;13;124;0;0;2;13;226;140
148;18;3;1;17;276;0;8;135;768;24;67;0;4;6;2;169;207
149;5;3;3;2;28;0;1;95;29;8;73;1;0;0;1;18;8
150;4;2;2;2;3;0;2;0;14;3;15;2;0;0;2;5;5
151;12;1;10;2;15;0;2;0;28;6;10;0;0;0;6;12;8
152;48;7;10;43;1540;1;5;81;698;56;263;4;0;0;51;367;177
153;1;2;1;0;0;0;0;2;3;1;33;0;0;0;1;1;1
154;3;3;1;2;3;0;3;1;21;3;31;3;0;0;3;5;5
155;0;1;0;0;20706;0;0;0;612;204;212;0;0;0;204;204;204
156;8;5;4;4;91;3;0;384;78;14;77;0;0;0;14;29;21
157;24;1;6;19;120;3;17;11;407;16;9;0;0;16;9;125;73
158;28;1;18;11;351;4;16;125;379;27;8;0;0;5;24;92;108
159;4;7;1;3;3;0;2;397;36;3;124;0;0;2;3;20;9
160;12;2;1;11;15;0;2;18;120;6;62;0;0;2;1;49;26
161;9;4;0;9;6;0;0;384;72;4;41;0;0;0;4;28;16
162;7;2;4;4;171;0;15;119;238;19;16;1;1;5;11;62;86
163;23;2;4;20;276;1;9;3;305;24;25;0;4;0;17;135;86
164;4;3;1;3;6;0;1;388;80;4;33;0;1;1;3;11;27
165;2;3;1;1;3;0;3;1;23;3;31;3;0;0;3;5;5
166;12;3;4;9;45;1;3;3;110;10;17;0;2;0;2;37;30
167;9;2;4;5;66;1;3;0;92;12;13;1;0;0;6;61;29
168;6;3;1;5;136;0;9;95;117;17;73;5;0;0;7;61;29
169;150;1;135;18;1830;19;102;0;657;61;8;7;1;2;26;209;206
170;2;1;1;1;45;1;11;0;48;10;8;0;0;0;0;11;12
171;11;3;0;11;15;0;6;380;192;6;38;0;0;6;6;69;45
172;7;3;1;6;105;0;3;95;220;15;73;2;0;0;5;85;57
173;13;1;12;1;6;0;0;0;40;4;8;0;0;0;4;8;4
174;39;1;4;36;190;0;5;0;712;20;8;4;2;1;15;211;148
175;3;1;1;2;1;0;0;0;23;2;8;0;1;0;1;16;7
176;6;2;3;4;45;1;4;58;121;10;24;4;0;0;1;51;50
177;2;1;1;1;10;0;3;0;27;5;8;3;0;0;5;8;8
178;32;6;10;22;210;5;5;414;787;21;94;0;0;3;21;277;253
179;8;3;8;0;1;0;2;37;8;2;72;1;0;1;2;2;4
180;2;6;2;1;3;0;2;68;13;3;210;2;0;0;3;5;3
181;4;2;1;3;36;0;3;3;48;9;27;2;0;0;0;25;12
182;4;1;1;3;15;0;3;0;88;6;8;3;0;0;6;17;32
183;16;1;9;7;276;1;7;0;276;24;16;0;0;0;16;79;49
184;25;1;23;2;55;0;4;0;127;11;16;0;1;4;10;31;45
185;23;4;18;5;21;0;2;49;48;7;148;1;0;1;7;23;13
186;24;5;11;13;45;4;1;52;178;10;161;0;1;0;5;82;34
187;41;1;9;33;210;0;19;0;426;21;8;15;5;0;15;170;89
188;1;6;1;0;10;1;1;11;12;5;47;0;0;0;4;5;4
189;17;1;15;2;15;2;2;0;47;6;8;0;0;1;5;13;13
190;6;2;4;2;28;0;2;5;59;8;13;2;0;0;8;26;15
191;10;6;1;9;15;0;2;415;230;6;117;0;0;2;6;87;56
192;7;2;1;6;1;0;0;52;35;2;25;0;0;0;2;14;6
193;2;3;1;1;66;0;3;95;59;12;73;2;0;0;3;33;16
194;11;2;5;6;45;0;4;1;68;10;12;0;0;4;8;38;15
195;2;1;2;0;3;0;5;0;10;3;16;2;0;0;3;3;3
196;13;3;1;12;300;0;3;170;495;25;67;1;2;2;4;130;129
197;8;1;6;2;21;3;2;0;44;7;8;2;0;0;6;20;14
198;87;2;72;21;276;2;12;262;546;24;80;0;1;9;19;157;169
199;84;1;68;30;703;0;27;140;1069;38;8;11;3;10;27;312;321
200;17;2;10;7;120;6;3;95;74;16;68;1;0;2;7;38;19
201;4;3;1;3;120;0;7;95;141;16;73;4;0;0;7;65;35
202;25;3;17;11;45;2;9;34;177;10;24;0;1;6;9;41;49
203;51;1;36;17;1431;14;18;0;528;54;8;0;0;1;16;244;141
204;31;3;2;29;171;1;3;34;516;19;78;0;12;0;1;278;125
205;7;3;4;3;190;0;7;95;127;20;82;4;0;0;7;63;33
206;4;3;3;2;21;0;1;7;46;7;22;0;0;1;4;15;12
207;16;3;2;14;36;0;2;22;102;9;78;0;2;0;1;61;26
208;8;5;1;7;6;0;0;397;65;4;94;0;1;0;3;25;24
209;14;2;11;6;136;1;6;153;136;17;16;0;3;6;7;54;45
210;14;1;0;14;6;0;6;0;121;4;9;5;2;1;2;59;32
211;6;2;4;2;105;0;24;95;70;15;68;3;0;0;5;40;19
212;5;3;1;4;66;0;3;95;72;12;73;2;0;0;3;39;19
213;13;2;2;12;91;0;11;1;112;14;12;3;2;6;9;50;36
214;24;3;19;7;276;0;6;40;190;24;71;0;0;5;24;70;61
215;4;1;3;1;45;0;276;0;177;10;8;1;0;0;10;26;41
216;10;4;1;9;15;0;2;384;66;6;69;0;1;2;5;32;20
217;15;4;2;14;741;0;4;50;328;39;176;0;0;0;13;195;85
218;8;1;6;2;45;0;4;0;117;10;16;0;1;4;9;24;30
219;0;1;0;0;1;1;5;0;0;2;8;0;0;0;2;2;0
220;4;3;1;4;28;0;0;69;65;8;37;0;1;0;2;21;27
221;7;3;5;2;78;0;13;95;59;13;76;3;0;0;4;31;16
222;5;2;4;1;66;0;1;152;39;12;41;1;1;0;11;14;13
223;3;1;1;2;6;0;2;14;17;4;11;0;0;2;4;9;5
224;21;2;11;11;1378;4;24;7;482;53;35;0;1;0;21;194;125
225;9;2;4;6;66;2;2;0;57;12;5;0;0;0;10;30;20
226;0;7;0;0;1;0;2;386;7;2;86;0;0;0;2;2;2
227;1;3;1;0;1;0;1;23;7;2;28;1;0;0;2;3;2
228;2;2;1;1;36;0;3;0;42;9;11;1;3;2;5;21;11
229;13;4;7;6;55;1;2;52;57;11;127;0;0;0;9;31;16
230;6;2;2;4;91;0;14;13;131;14;31;14;0;0;13;37;29
231;1;1;1;0;0;0;5;0;3;1;23;1;0;4;1;1;1
232;12;3;8;4;15;2;2;95;22;6;73;0;0;1;4;13;6
233;6;1;5;1;66;0;1;17;136;12;0;1;0;0;5;66;51
234;7;5;1;6;55;0;1;384;91;11;87;0;0;1;7;38;25
235;14;1;12;2;3;0;18;0;80;3;8;18;0;0;3;11;24
236;14;3;1;13;153;0;0;8;104;18;46;0;0;0;15;65;21
237;3;2;1;2;28;0;7;0;51;8;25;7;0;0;7;13;12
238;5;1;5;0;28;3;6;78;27;8;8;0;0;0;4;12;7
239;14;2;1;13;2080;1;4;402;681;65;8;1;0;3;2;237;223
240;6;3;3;3;66;0;3;95;71;12;73;2;0;0;3;37;19
241;3;1;3;0;45;0;0;0;0;10;8;0;0;0;10;10;0
242;1;3;1;0;1;0;1;37;7;2;72;0;0;1;2;2;2
243;4;3;1;3;91;0;5;95;109;14;73;3;0;0;5;51;27
244;1;6;0;1;3;0;2;386;13;3;85;0;0;2;3;7;3
245;9;2;0;9;21;0;1;33;103;7;82;0;1;0;2;36;30
246;47;4;27;27;903;2;3;59;554;43;160;0;1;0;27;273;134
247;3;1;0;3;3;0;1;0;19;3;8;0;2;0;1;8;6
248;33;4;19;16;45;3;5;384;357;10;69;1;1;3;9;94;118
249;6;7;1;5;3;0;0;419;40;3;115;0;0;0;3;23;15
250;22;1;6;16;903;0;12;0;474;43;8;5;13;4;30;273;133
251;6;3;1;5;21;0;0;380;32;7;38;0;0;0;7;17;9
252;50;1;18;37;1891;1;22;249;6113;62;8;1;22;17;39;1095;1042
253;18;1;2;17;55;0;8;0;469;11;8;0;5;8;6;159;108
254;6;5;1;5;36;3;2;384;72;9;76;0;0;2;9;29;19
255;36;1;30;7;861;0;54;0;841;42;8;12;16;0;26;294;225
256;4;4;1;4;10;0;1;14;26;5;59;1;0;0;1;12;13
257;5;2;2;3;136;0;9;219;191;17;55;7;1;1;16;30;53
258;6;2;6;1;28;6;0;95;24;8;68;0;0;0;7;10;8
259;6;1;6;0;0;0;1;0;3;1;22;1;0;0;1;1;1
260;5;1;1;4;6;0;2;0;51;4;8;2;1;0;3;15;15
261;47;1;38;9;1225;4;107;114;3449;50;8;2;3;44;41;374;1169
262;12;5;5;7;36;0;4;400;81;9;65;0;0;4;9;32;23
263;11;3;5;7;171;0;10;95;155;19;73;6;0;0;7;75;40
264;2;5;2;0;0;0;2;83;7;1;57;0;0;0;1;2;1
265;141;1;137;4;561;0;3;0;845;34;8;0;0;0;34;91;262
266;6;2;1;5;21;0;1;10;136;7;15;1;0;0;1;32;39
267;16;2;1;15;171;0;10;52;707;19;25;10;16;0;3;221;191
268;2;6;1;1;10;0;0;415;28;5;93;0;0;0;5;12;8
269;4;3;1;3;15;0;1;9;20;6;42;1;0;0;5;11;6
270;51;1;50;3;703;2;8;0;66;38;8;0;0;1;38;60;20
271;15;3;12;3;55;0;3;95;47;11;73;2;0;0;2;29;13
272;6;2;3;4;136;0;8;95;121;17;68;5;0;0;7;60;31
273;12;1;1;11;10;0;3;0;145;5;8;0;2;3;3;62;43
274;8;6;2;6;28;0;5;385;71;8;95;0;1;2;7;34;20
275;9;3;5;4;91;0;3;95;87;14;76;2;0;0;5;45;23
276;1;4;1;0;3;0;2;3;11;3;38;2;0;0;3;3;3
277;12;1;1;11;15;0;2;0;63;6;8;0;0;0;6;25;15
278;13;1;0;13;23005;0;17;0;1585;215;212;17;10;0;205;1156;265
279;5;3;1;4;66;0;3;95;72;12;73;2;0;0;3;39;19
280;6;2;1;5;36;0;2;0;75;9;11;2;5;0;4;30;24
281;1;2;0;1;3;0;2;0;10;3;13;0;1;1;2;5;4
282;3;2;3;0;66;0;1;152;37;12;41;1;1;0;11;14;12
283;9;3;3;6;136;0;7;97;125;17;84;3;0;0;3;63;35
284;3;5;2;1;3;0;1;52;10;3;138;1;0;0;2;5;3
285;1;4;1;0;3;1;0;34;9;3;84;0;0;0;1;3;3
286;4;2;1;3;21;3;1;4;23;7;33;0;0;1;7;11;8
287;6;4;1;5;3;0;1;410;31;3;66;0;0;1;3;16;9
288;8;3;2;7;276;0;14;95;208;24;73;8;0;0;12;104;54
289;5;1;4;1;6;0;2;0;17;4;8;0;0;2;4;8;4
290;3;1;3;0;3;0;7;0;9;3;8;0;0;7;3;4;4
291;3;2;1;2;3;0;3;219;31;3;55;0;0;3;3;7;10
292;2;1;2;0;3;18;0;0;9;3;8;0;0;0;3;3;3
293;7;4;6;2;21;3;0;384;25;7;69;0;0;0;7;13;5
294;8;4;8;0;1;0;2;35;9;2;47;1;0;1;2;2;2
295;12;1;2;10;36;2;13;0;230;9;9;0;1;12;6;45;59
296;0;1;0;0;45;0;1;0;27;10;15;0;0;0;9;10;9
297;22;5;2;20;36;2;2;392;414;9;93;0;0;2;9;153;117
298;24;1;21;3;45;0;3;0;103;10;16;0;1;3;9;27;36
299;13;4;2;11;780;0;13;50;404;40;189;0;0;0;23;162;104
300;4;5;1;3;6;0;0;397;24;4;64;0;0;0;4;16;5
301;24;2;8;17;55;3;8;380;708;11;27;0;5;8;5;172;269
302;22;2;1;22;1653;0;16;6;952;58;67;12;1;1;57;361;271
303;2;1;2;0;10;1;0;0;12;5;8;0;0;0;5;5;4
304;1;2;1;0;0;0;1;10;4;1;13;0;0;1;0;1;1
305;38;1;33;5;15;0;2;0;52;6;0;1;0;1;6;30;12
306;4;1;3;1;15;0;3;0;56;6;8;0;1;3;5;13;19
307;1;2;1;0;0;0;0;2;3;1;33;0;0;0;1;1;1
308;8;2;1;8;6;0;1;18;83;4;62;0;0;0;2;48;21
309;32;7;3;31;465;1;4;69;529;31;240;0;4;0;22;241;118
310;1;3;1;0;10;0;1;405;28;5;73;0;0;1;0;13;10
311;8;2;3;6;136;0;7;95;109;17;68;4;0;0;7;60;28
312;0;1;0;0;15;3;0;0;18;6;8;0;0;0;6;6;6
313;6;5;2;4;6;0;0;37;28;4;88;0;0;0;1;12;9
314;10;1;6;5;10;2;0;0;17;5;8;0;0;0;5;13;4
315;5;1;1;5;36;0;2;0;44;9;8;2;0;0;9;26;14
316;4;1;3;1;45;1;2;0;69;10;8;0;0;0;10;21;13
317;10;4;6;5;55;2;3;52;56;11;128;0;0;0;9;30;16
318;7;1;3;5;21;2;5;0;104;7;8;0;0;5;0;25;7
319;13;3;1;12;91;0;3;58;231;14;34;3;5;0;1;110;51
320;4;2;2;2;190;0;12;563;164;20;24;11;0;0;20;31;58
321;24;2;2;23;210;0;9;19;706;21;37;0;0;1;2;322;215
322;2;3;1;1;3;0;0;384;17;3;31;0;0;0;3;8;4
323;29;3;19;13;351;7;1;35;171;27;76;0;0;1;21;83;50
324;3;8;1;2;3;0;0;386;16;3;103;0;0;0;3;10;5
325;6;2;1;5;78;0;3;0;77;13;5;1;0;0;12;32;24
326;6;3;0;6;231;0;8;5;154;22;27;8;0;0;22;61;44
327;4;5;1;3;3;0;2;400;20;3;65;1;0;1;3;13;5
328;4;2;4;0;66;0;1;152;36;12;41;0;1;1;11;14;12
329;4;1;1;3;15;0;3;0;88;6;8;3;0;0;6;17;32
330;21;2;5;16;15;0;13;3;209;6;12;5;5;0;1;57;51
331;29;1;1;29;136;0;2;39;462;17;8;2;8;0;3;215;162
332;4;1;1;3;28;0;4;0;50;8;8;0;0;4;8;17;16
333;16;2;1;15;105;0;7;6;155;15;23;7;1;0;13;61;43
334;6;2;1;6;66;1;5;55;276;12;27;2;2;0;0;126;84
335;4;1;0;4;0;0;0;0;73;1;0;0;0;0;1;25;3
336;4;1;2;2;45;0;13;0;156;10;8;2;0;2;10;33;43
337;2;8;1;1;10;0;3;429;17;5;120;0;0;3;5;8;6
338;14;2;1;14;465;0;14;6;290;31;39;14;1;0;29;85;86
339;33;3;6;29;105;0;2;408;437;15;58;0;1;2;14;145;118
340;14;2;2;12;10;0;2;18;87;5;62;0;0;0;2;58;19
341;7;1;0;7;15;0;13;15;128;6;8;0;2;0;4;31;24
342;4;2;1;3;6;2;1;68;36;4;33;0;0;0;3;13;15
343;8;2;1;7;66;0;4;18;136;12;18;4;0;0;9;63;41
344;7;1;1;7;21;0;5;0;99;7;8;0;0;5;0;36;35
345;21;3;2;19;21;0;16;380;334;7;38;0;0;13;7;99;79
346;2;1;1;1;6;1;3;0;16;4;8;1;1;2;3;10;7
347;26;1;26;0;595;1;0;0;105;35;8;0;0;0;2;35;35
348;4;1;1;3;105;0;16;0;325;15;8;2;3;6;12;52;89
349;1;3;1;0;0;0;3;4;0;1;19;0;0;3;1;1;0
350;1;1;1;0;10;0;34;0;29;5;22;5;0;0;5;11;7
351;9;2;3;6;78;1;5;0;101;13;18;0;0;5;9;42;32
352;4;4;1;3;10;0;1;14;35;5;60;1;0;0;1;14;17
353;128;2;126;11;1596;3;12;28;773;57;16;0;2;2;54;197;273
354;4;3;1;3;6;0;1;143;23;4;40;0;0;1;3;10;7
355;18;3;1;17;21;0;4;380;163;7;38;1;0;3;7;63;32
356;2;5;0;2;36;1;9;61;54;9;49;3;0;1;5;20;16
357;2;1;2;0;0;0;0;0;0;1;8;0;0;0;1;1;0
358;2;3;1;1;1;0;0;387;11;2;32;0;0;0;2;7;4
359;7;1;2;5;78;0;1;0;82;13;8;1;0;0;13;46;18
360;6;4;2;4;6;0;0;384;29;4;48;0;0;0;4;16;10
361;13;5;1;12;10;0;2;421;184;5;93;0;0;2;5;73;49
362;7;1;5;2;15;1;3;0;39;6;8;0;0;2;6;19;12
363;13;4;1;12;3;0;7;61;61;3;45;0;0;0;2;32;13
364;4;2;1;3;28;0;7;0;49;8;26;7;0;0;8;21;14
365;3;2;1;2;3;0;1;0;62;3;13;1;1;0;1;14;8
366;2;5;1;1;1;0;1;400;14;2;65;0;0;1;2;4;3
367;5;4;1;4;3;0;0;393;34;3;61;0;0;0;3;16;11
368;23;1;5;18;10;0;4;0;200;5;8;4;3;0;2;85;50
369;2;1;1;1;3;0;2;0;24;3;10;2;0;0;3;11;7
370;7;1;3;4;45;0;3;0;103;10;16;0;1;3;9;27;36
371;34;2;4;32;2080;0;12;0;907;65;13;9;37;2;6;547;218
372;2;2;2;0;0;0;0;2;3;1;33;0;0;0;1;1;1
373;3;3;1;2;3;0;3;1;21;3;31;3;0;0;3;5;5
374;10;3;6;4;91;0;6;95;88;14;76;3;0;1;4;47;22
375;5;2;2;3;1;0;3;0;50;2;39;3;0;0;1;18;12
376;6;2;3;3;15;0;1;0;23;6;13;0;1;1;5;11;10
377;29;1;6;25;171;0;13;12;691;19;8;1;5;3;7;244;181
378;8;8;3;5;21;0;3;507;115;7;120;1;0;1;7;24;34
379;17;1;14;3;45;0;4;0;122;10;16;0;1;4;9;26;33
380;16;7;3;13;36;2;1;387;296;9;101;0;1;1;7;115;91
